Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Austria,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,.,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.
       Belgium,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
       Finland,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,.,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.
       Greece,451.6,474.7,432.4,340.5,374.3,553.4,530.1,911.2,882.5,742.9,577.1,559.2,548.7,526.6,509.7,496.8,461,394.1,333.7,342,161.8,2.6,55.8,20.2,6,0.6,8.7,0.6,1.1,0.6,0.6,0.4
       Iceland,0,.,0,0,.,0,0,0,0,0,0.1,0.1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
       Ireland,.,.,.,.,.,.,.,.,.,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
       Malta,1.4,.,.,.,.,.,.,.,.,.,.,.,0.1,0,0,0,0.1,0,0.1,0,0.1,0.1,0.5,0.7,3.7,0.3,6.1,.,.,.,0,0.1
       Portugal,96.9,75.8,70.8,73.5,111,132.6,209.4,196.1,225.2,193.3,138.4,138.2,160.4,131.3,146.6,144.8,126.8,110.8,4.5,29.2,3.9,61.7,13.8,0.9,0.8,0.8,1,3.6,0.9,0.6,0.5,0.4
       Spain,396.7,371.6,412.7,290.6,265.2,250,758.4,732.4,709.2,662.5,181,3.9,3.3,2.9,2.2,1.3,0.3,0.1,0.1,0.1,.,.,.,.,.,.,.,.,.,.,.,.
       Turkey,361.9,475.9,452.7,480.6,531.4,793,759,"1,305.30","1,238.40","1,063.70",827.2,801.7,787.6,756.1,"1,033.00",713.8,675.4,560,480.1,564.2,227,7.3,19.5,4.5,2.2,84.1,23.5,44.9,40.7,18.8,18.2,9.7
       United Kingdom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42.5,.,.,.,.,.,.,.,.,.,.,.,.,.
